#,INCIDENT TITLE,LOCATION,DESCRIPTION,INCIDENT DATE,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
1,Abbey,Abbey,Abbey,12-04-24 12:49,Cypress,50.73,-108.75,YES,YES
2,Abbott,Abbott,Abbott,12-04-24 12:49,Sun Country,49.58,-104.40,YES,YES
4,Aberdeen,Aberdeen,Aberdeen,12-04-24 12:49,Saskatoon,52.31,-106.28,YES,YES
5,Aberfeldy,Aberfeldy,Aberfeldy,12-04-24 12:49,Prairie North,53.25,-109.88,YES,YES
6,Abernethy,Abernethy,Abernethy,12-04-24 12:49,Regina Qu'Appelle,50.75,-103.41,YES,YES
7,Abound,Abound,Abound,12-04-24 12:49,Five Hills,50.31,-105.76,YES,YES
8,Ada,Ada,Ada,12-04-24 12:49,Five Hills,50.06,-106.13,YES,YES
9,Adams,Adams,Adams,12-04-24 12:49,Regina Qu'Appelle,50.46,-104.86,YES,YES
10,Adanac,Adanac,Adanac,12-04-24 12:49,Heartland,52.45,-109.08,YES,YES
11,Admiral,Admiral,Admiral,12-04-24 12:49,Cypress,49.71,-108.01,YES,YES
12,Aikins,Aikins,Aikins,12-04-24 12:49,Cypress,50.33,-107.70,YES,YES
13,Air Ronge,Air Ronge,Air Ronge,12-04-24 12:49,Mamawetan Churchill River,55.08,-105.31,YES,YES
14,Akosane,Akosane,Akosane,12-04-24 12:49,Kelsey Trail,52.73,-102.48,YES,YES
15,Alameda,Alameda,Alameda,12-04-24 12:49,Sun Country,49.26,-102.28,YES,YES
16,Albatross,Albatross,Albatross,12-04-24 12:49,Regina Qu'Appelle,50.53,-104.66,YES,YES
17,Albertville,Albertville,Albertville,12-04-24 12:49,Prince Albert Parkland,53.41,-105.53,YES,YES
18,Aldina,Aldina,Aldina,12-04-24 12:49,Prince Albert Parkland,53.00,-106.88,YES,YES
19,Algrove,Algrove,Algrove,12-04-24 12:49,Kelsey Trail,52.48,-103.88,YES,YES
20,Alice Beach,Alice Beach,Alice Beach,12-04-24 12:49,Regina Qu'Appelle,50.93,-105.16,YES,YES
21,Alida,Alida,Alida,12-04-24 12:49,Sun Country,49.38,-101.86,YES,YES
22,Allan,Allan,Allan,12-04-24 12:49,Saskatoon,51.88,-106.06,YES,YES
23,Allan Hills,Allan Hills,Allan Hills,12-04-24 12:49,Saskatoon,51.65,-106.08,YES,YES
24,Alsask,Alsask,Alsask,12-04-24 12:49,Heartland,51.35,-109.98,YES,YES
25,Alta Vista,Alta Vista,Alta Vista,12-04-24 12:49,Regina Qu'Appelle,50.80,-104.96,YES,YES
26,Altawan,Altawan,Altawan,12-04-24 12:49,Cypress,49.23,-109.93,YES,YES
27,Alticane,Alticane,Alticane,12-04-24 12:49,Prince Albert Parkland,52.90,-107.48,YES,YES
28,Alvena,Alvena,Alvena,12-04-24 12:49,Saskatoon,52.51,-106.01,YES,YES
29,Amazon,Amazon,Amazon,12-04-24 12:49,Saskatoon,51.55,-105.45,YES,YES
30,Ambassador,Ambassador,Ambassador,12-04-24 12:49,Saskatoon,51.56,-105.01,YES,YES
31,Amiens,Amiens,Amiens,12-04-24 12:49,Prince Albert Parkland,53.31,-107.25,YES,YES
32,Amsterdam,Amsterdam,Amsterdam,12-04-24 12:49,Sunrise,51.75,-102.46,YES,YES
33,Amulet,Amulet,Amulet,12-04-24 12:49,Sun Country,49.61,-104.75,YES,YES
34,Ancrum,Ancrum,Ancrum,12-04-24 12:49,Saskatoon,51.86,-105.78,YES,YES
35,Anerley,Anerley,Anerley,12-04-24 12:49,Heartland,51.36,-107.31,YES,YES
36,Aneroid,Aneroid,Aneroid,12-04-24 12:49,Cypress,49.71,-107.30,YES,YES
37,Anglia,Anglia,Anglia,12-04-24 12:49,Heartland,51.56,-108.16,YES,YES
38,Anglin Lake,Anglin Lake,Anglin Lake,12-04-24 12:49,Prince Albert Parkland,53.70,-105.95,YES,YES
39,Annaheim,Annaheim,Annaheim,12-04-24 12:49,Saskatoon,52.31,-104.81,YES,YES
40,Antelope,Antelope,Antelope,12-04-24 12:49,Cypress,50.15,-108.33,YES,YES
41,Antler,Antler,Antler,12-04-24 12:49,Sun Country,49.56,-101.45,YES,YES
42,Aquadell,Aquadell,Aquadell,12-04-24 12:49,Five Hills,50.63,-106.78,YES,YES
43,Aquadeo,Aquadeo,Aquadeo,12-04-24 12:49,Prairie North,53.13,-108.41,YES,YES
44,Aquadeo Beach,Aquadeo Beach,Aquadeo Beach,12-04-24 12:49,Prairie North,53.13,-108.41,YES,YES
45,Arabella,Arabella,Arabella,12-04-24 12:49,Sunrise,52.05,-102.05,YES,YES
46,Arborfield,Arborfield,Arborfield,12-04-24 12:49,Kelsey Trail,53.10,-103.65,YES,YES
47,Arbury,Arbury,Arbury,12-04-24 12:49,Regina Qu'Appelle,51.15,-104.28,YES,YES
48,Arbuthnot,Arbuthnot,Arbuthnot,12-04-24 12:49,Five Hills,49.81,-106.90,YES,YES
49,Archerwill,Archerwill,Archerwill,12-04-24 12:49,Kelsey Trail,52.43,-103.85,YES,YES
50,Archive,Archive,Archive,12-04-24 12:49,Five Hills,50.28,-105.61,YES,YES
51,Archydal,Archydal,Archydal,12-04-24 12:49,Five Hills,50.48,-105.75,YES,YES
52,Arcola,Arcola,Arcola,12-04-24 12:49,Sun Country,49.63,-102.48,YES,YES
53,Ardath,Ardath,Ardath,12-04-24 12:49,Heartland,51.61,-107.23,YES,YES
54,Ardill,Ardill,Ardill,12-04-24 12:49,Five Hills,49.93,-105.85,YES,YES
55,Ardwick,Ardwick,Ardwick,12-04-24 12:49,Five Hills,49.63,-106.01,YES,YES
56,Arelee,Arelee,Arelee,12-04-24 12:49,Heartland,52.25,-107.50,YES,YES
57,Argo,Argo,Argo,12-04-24 12:49,Heartland,52.01,-108.10,YES,YES
58,Arlington Beach,Arlington Beach,Arlington Beach,12-04-24 12:49,Saskatoon,51.25,-105.23,YES,YES
59,Arma,Arma,Arma,12-04-24 12:49,Saskatoon,52.58,-106.36,YES,YES
60,Armilla,Armilla,Armilla,12-04-24 12:49,Sun Country,49.63,-102.58,YES,YES
61,Armit,Armit,Armit,12-04-24 12:49,Kelsey Trail,52.83,-101.78,YES,YES
62,Armley,Armley,Armley,12-04-24 12:49,Kelsey Trail,53.11,-104.03,YES,YES
63,Armour,Armour,Armour,12-04-24 12:49,Regina Qu'Appelle,50.51,-104.61,YES,YES
64,Arpiers,Arpiers,Arpiers,12-04-24 12:49,Saskatoon,51.95,-105.78,YES,YES
65,Arran,Arran,Arran,12-04-24 12:49,Sunrise,51.88,-101.71,YES,YES
66,Artland,Artland,Artland,12-04-24 12:49,Prairie North,52.70,-109.88,YES,YES
67,Aspen Cove,Aspen Cove,Aspen Cove,12-04-24 12:49,Prairie North,53.54,-108.68,YES,YES
68,Asquith,Asquith,Asquith,12-04-24 12:49,Saskatoon,52.13,-107.21,YES,YES
69,Assiniboia,Assiniboia,Assiniboia,12-04-24 12:49,Five Hills,49.63,-105.98,YES,YES
70,Attica,Attica,Attica,12-04-24 12:49,Saskatoon,51.95,-105.10,YES,YES
71,Atwater,Atwater,Atwater,12-04-24 12:49,Sunrise,50.78,-102.21,YES,YES
72,Auburnton,Auburnton,Auburnton,12-04-24 12:49,Sun Country,49.40,-102.08,YES,YES
73,Ava,Ava,Ava,12-04-24 12:49,Heartland,51.85,-108.61,YES,YES
74,Avebury,Avebury,Avebury,12-04-24 12:49,Prince Albert Parkland,53.15,-106.98,YES,YES
75,Avery,Avery,Avery,12-04-24 12:49,Prince Albert Parkland,53.25,-107.98,YES,YES
76,Avonhurst,Avonhurst,Avonhurst,12-04-24 12:49,Regina Qu'Appelle,50.63,-104.13,YES,YES
77,Avonlea,Avonlea,Avonlea,12-04-24 12:49,Five Hills,50.01,-105.06,YES,YES
78,Axford,Axford,Axford,12-04-24 12:49,Sun Country,49.65,-104.41,YES,YES
79,Aylesbury,Aylesbury,Aylesbury,12-04-24 12:49,Five Hills,50.93,-105.68,YES,YES
80,Aylsham,Aylsham,Aylsham,12-04-24 12:49,Kelsey Trail,53.20,-103.81,YES,YES
81,Badgerville,Badgerville,Badgerville,12-04-24 12:49,Sunrise,51.63,-101.91,YES,YES
82,Baildon,Baildon,Baildon,12-04-24 12:49,Five Hills,50.26,-105.46,YES,YES
83,Baird,Baird,Baird,12-04-24 12:49,Cypress,50.35,-107.65,YES,YES
84,Balcarres,Balcarres,Balcarres,12-04-24 12:49,Regina Qu'Appelle,50.80,-103.55,YES,YES
85,Baldwinton,Baldwinton,Baldwinton,12-04-24 12:49,Prairie North,52.78,-109.26,YES,YES
86,Balgonie,Balgonie,Balgonie,12-04-24 12:49,Regina Qu'Appelle,50.48,-104.26,YES,YES
87,Baljennie,Baljennie,Baljennie,12-04-24 12:49,Prairie North,52.55,-107.90,YES,YES
88,Balone Beach,Balone Beach,Balone Beach,12-04-24 12:49,Saskatoon,52.66,-105.60,YES,YES
89,Bangor,Bangor,Bangor,12-04-24 12:49,Sunrise,50.80,-102.33,YES,YES
90,Bankend,Bankend,Bankend,12-04-24 12:49,Regina Qu'Appelle,51.51,-103.85,YES,YES
91,Bannock,Bannock,Bannock,12-04-24 12:49,Kelsey Trail,52.86,-103.15,YES,YES
92,Bapaume,Bapaume,Bapaume,12-04-24 12:49,Prince Albert Parkland,53.38,-107.66,YES,YES
93,Barford,Barford,Barford,12-04-24 12:49,Kelsey Trail,52.55,-103.90,YES,YES
94,Baring,Baring,Baring,12-04-24 12:49,Regina Qu'Appelle,50.25,-103.05,YES,YES
