"#","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","APPROVED","VERIFIED"
1,"Zenon Park",2013-07-03 12:49:00,"(Arborfield Health Centre), Zenon Park, SK, S0E 1W0","ID: 19c Rescode: 45657 Telephone: 769-8757 Fax: ","Kelsey Trail,Primary Health Centre,",53.0666666666669,-103.75,"YES","YES"
2,"Yutthé Dene Nakóhódí Health Centre",2013-10-04 12:49:00,"Box 124, Black Lake, SK, S0J 0H0","ID: 213 Rescode: 80173 Telephone: 439-2200 Fax: 439-2212","Athabasca Health Authority,Hospital,Northern Hospital",,,"YES","YES"
3,"Yorkton Regional Health Centre",2012-11-27 12:49:00,"270 Bradbrooke Drive, Yorkton, SK, S3N 2K6","ID: 176 Rescode: 24427 Telephone: 782-2401 Fax: 786-6295","Sunrise,Hospital,Regional Hospital",51.216666666667,-102.466666666669,"YES","YES"
4,"Yorkton Personal Care Home",2012-12-20 12:49:00,"77 Circlebrooke Drive, Yorkton, SK, S3N 2R9","ID: 5282 Rescode: 24427 Telephone: 783-9688 Fax: ","Sunrise,Personal Care Home,",51.216666666667,-102.466666666669,"YES","YES"
5,"Yorkton Personal Care Home",2012-12-21 12:49:00,"89 Smith Street East, Yorkton, SK, S3N 0H7","ID: 7501 Rescode: 24427 Telephone: 783-9258 Fax: ","Sunrise,Personal Care Home,",51.216666666667,-102.466666666669,"YES","YES"
6,"Yorkton Personal Care Home",2012-12-22 12:49:00,"10C 54 Allanbrooke Dr., Yorkton, SK, S3N 3G4","ID: 7528 Rescode: 24427 Telephone: 786-7503 Fax: ","Sunrise,Personal Care Home,",51.216666666667,-102.466666666669,"YES","YES"
7,"Yorkton Personal Care Home",2012-12-23 12:49:00,"11 Marquis Crescent South, Yorkton, SK, S3N 3L8","ID: 7627 Rescode: 24427 Telephone: 786-6741 Fax: ","Sunrise,Personal Care Home,",51.216666666667,-102.466666666669,"YES","YES"
8,"Yorkton and District Nursing Home Corp.",2012-12-10 12:49:00,"200 Bradbrooke Drive, Yorkton, SK, S3N 2K5","ID: 36120 Rescode: 24427 Telephone: 786-0801 Fax: 786-0808","Sunrise,Special Care Home,",51.216666666667,-102.466666666669,"YES","YES"
9,"Wynyard Integrated Facility",2013-01-02 12:49:00,"Box 670, 300 10th Street E., Wynyard, SK, S0A 4T0","ID: 174 Rescode: 30830 Telephone: 554-2586 Fax: 544-2247","Saskatoon,Hospital w/ Special Care Home,Community Hospital",51.766666666667,-104.18333333333,"YES","YES"
10,"Wolseley Memorial Hospital",2012-07-28 12:49:00,"Box 458, 801 Ouimet St., Wolseley, SK, S0G 5H0","ID: 173 Rescode: 15530 Telephone: 698-2213 Fax: 698-2988","Regina Qu'Appelle,Hospital,Community Hospital",50.4166666666669,-103.26666666667,"YES","YES"
11,"Wiome House",2012-12-19 12:49:00,"564 Circlebrooke Dr, Yorkton, SK, S3N 2T4","ID: 7064 Rescode: 24427 Telephone: 783-9218 Fax: ","Sunrise,Personal Care Home,",51.216666666667,-102.466666666669,"YES","YES"
12,"Windthorst Personal Care Home",2012-05-25 12:49:00,"NE3-13-7W2 RM Chester 125, Windthorst, SK, S0G 5G0","ID: 6947 Rescode: 12557 Telephone: 224-4347 Fax: ","Sun Country,Personal Care Home,",50.1,-102.83333333333,"YES","YES"
13,"Willowdale Lodge",2012-05-12 12:49:00,"Box 537, 128 4th Street S., Kipling, SK, S0G 2S0","ID: 13132 Rescode: 12430 Telephone: 736-2218 Fax: 736-2986","Sun Country,Special Care Home,",50.1,-102.63333333333,"YES","YES"
14,"Willowbunch Health Centre",2012-06-01 12:49:00,"Box 6, 17 3rd St. E., Willowbunch, SK, S0H 4K0","ID: 694 Rescode: 4230 Telephone: 473-2310 Fax: 473-2677","Five Hills,Health Centre,",,,"YES","YES"
15,"Wilkie and District Health Centre/Poplar Courts",2013-05-17 12:49:00,"Box 459, 304 7th Ave. E., Wilkie, SK, S0K 4W0","ID: 171/23131 Rescode: 40930 Telephone: 843-2644 Fax: 843-3222","Heartland,Health Centre w/ Special Care Home,ER Health Centre Site",52.4166666666669,-108.7,"YES","YES"
16,"Wildrose Homes",2012-11-07 12:49:00,"3821 Regina Avenue, Regina, SK, S4S 0H8","ID: 5150 Rescode: 15923 Telephone: 584-8421 Fax: ","Regina Qu'Appelle,Personal Care Home,",50.45,-104.61666666667,"YES","YES"
17,"Wiebe's Personal Care Home",2013-03-29 12:49:00,"3447 Cassino Avenue, Saskatoon, SK, S7M 5E9","ID: 5363 Rescode: 34424 Telephone: 382-8695 Fax: ","Saskatoon,Personal Care Home,",52.116666666667,-106.63333333333,"YES","YES"
18,"Whitewood Community Health Centre",2012-08-09 12:49:00,"Box 669, 921 Gambetta St., Whitewood, SK, S0G 5C0","ID: 170/13150 Rescode: 15330 Telephone: 735-2688 Fax: 735-2512","Regina Qu'Appelle,Health Centre w/ Special Care Home,",50.333333333333,-102.26666666667,"YES","YES"
