#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
2,A &amp; A Personal Care Home Ltd.,14-04-09 12:49,"3230 Mountbatten Street, Saskatoon, SK, S7M 3T6",ID: 3921 Telehealth: No Rescode: 34424 Telephone: 978-1441 Fax: ,"Saskatoon, Personal Care Home, ",52.108222,-106.728944,YES,YES
3,A Special Place,14-04-10 12:49,"214 Lochrie Crescent, Saskatoon, SK, S7M 5E4",ID: 6564 Telehealth:  Rescode: 34424 Telephone: 934-5573 Fax: ,"Saskatoon, Personal Care Home, ",52.119049,-106.740277,YES,YES
4,A Special Place Too,14-04-11 12:49,"218 Lochrie Crescent, Saskatoon, SK, S7M 5E4",ID: 6998 Telehealth:  Rescode: 34424 Telephone: 384-5530 Fax: ,"Saskatoon, Personal Care Home, ",52.11914,-106.74027,YES,YES
5,A.D.'s Personal Care Home,13-09-17 12:49,"211 Williston Drive, Regina, SK, S4X 2H3",ID: 5711 Telehealth:  Rescode: 15923 Telephone: 949-4503 Fax: ,"Regina, Personal Care Home, ",50.483427,-104.683634,YES,YES
6,Aberdeen Personal Care Home,14-07-14 12:49,"31 Blake Crescent, Aberdeen, SK, S0K 0A0",ID: 4715 Telehealth:  Rescode: 37330 Telephone: 253-4889 Fax: ,"Saskatoon, Personal Care Home, ",52.329628,-106.293172,YES,YES
7,Al Ritchie Health Action Centre,13-09-23 12:49,"325 Victoria Avenue, Regina, SK, S4N 0P5",ID:  Telehealth:  Rescode: 15923 Telephone: 766-7660 Fax: 000-0000,"Regina, Health Centre, ",50.447023,-104.585962,YES,YES
8,Albert Park Lodge,13-09-26 12:49,"4518 Montague Street, Regina, SK, S4S 3K7",ID: 5142 Telehealth:  Rescode: 15923 Telephone: 789-3619 Fax: ,"Regina, Personal Care Home, ",50.407576,-104.62968,YES,YES
9,All Nations Healing Hospital,14-12-08 12:49,"Box 300, 760 Broadway Street W., Fort Qu'Appelle, SK, S0G 1S0",ID: 401 Telehealth:  Rescode: 18730 Telephone: 332-5611 Fax: 332-5033,"Regina, Hospital, Community, ",50.769614,-103.794649,NO,YES
10,Allan Wolbaum,13-09-30 12:49,"2066 Reynolds Street, Regina, SK, S4N 3M8",ID: 7463 Telehealth:  Rescode: 15923 Telephone: 757-2271 Fax: ,"Regina, Personal Care Home, ",50.445898,-104.589395,YES,YES
11,Anderson Lodge,14-02-05 12:49,"150 Independent Street, Yorkton, SK, S3N 0S7",ID: 36111 Telehealth:  Rescode: 24427 Telephone: 786-0730 Fax: 786-0842,"Sunrise, Special Care Home, ",51.206447,-102.472555,YES,YES
12,Antaya Personal Care Home,14-04-12 12:49,"1928 St. Charles Avenue, Saskatoon, SK, S7M 0N8",ID: 6394 Telehealth:  Rescode: 34424 Telephone: 653-5647 Fax: ,"Saskatoon, Personal Care Home, ",52.106788,-106.67871,YES,YES
13,Arborfield,14-09-18 12:49,"Arborfield Health Centre, P.O. Box 160, Arborfield, SK, S0E 0A0",ID: 1a Telehealth:  Rescode: 45630 Telephone: 769-8757 Fax: ,"Kelsey Trail, Primary Health Centre, ",53.104653,-103.660583,YES,YES
14,Arborfield &amp; District Health Care Centre,14-09-19 12:49,"Box 160, 5th Avenue, Arborfield, SK, S0E 0A0",ID: 1/33149 Telehealth:  Rescode: 45630 Telephone: 769-8757 Fax: 769-8759,"Kelsey Trail, Health Centre w/ Special Care, ",53.103928,-103.66088,YES,YES
15,Arcola Health Centre,13-07-20 12:49,"Box 419, 607 Prairie Avenue, Arcola, SK, S0C 0G0",ID: 2 Telehealth: Yes Rescode: 6430 Telephone: 455-2771 Fax: 455-2397,"Sun Country, Hospital, Community, Telehealth, ",49.637804,-102.487949,YES,YES
16,Ashton Valley Care Home,14-04-13 12:49,"438 Avenue Y North, Saskatoon, SK, S7L 3L2",ID: 6076 Telehealth:  Rescode: 34424 Telephone: 382-8975 Fax: ,"Saskatoon, Personal Care Home, ",52.134781,-106.708792,YES,YES
17,Assiniboia Pioneer Lodge,13-07-24 12:49,"Box 1120, 800 1st St. W., Assiniboia, SK, S0H 0B0",ID: 7117 Telehealth:  Rescode: 7230 Telephone: 642-3311 Fax: 642-3099,"Five Hills, Special Care Home, ",49.633567,-105.991792,YES,YES
18,Assiniboia Union Hospital,13-07-23 12:49,"Box 1120, 501 6th Avenue E., Assiniboia, SK, S0H 0B0",ID: 003 Telehealth: Yes Rescode: 7230 Telephone: 642-3351 Fax: 642-3804,"Five Hills, Hospital, Community, Telehealth, ",49.633567,-105.991792,YES,YES
19,Aurora,13-10-02 12:49,"2955 Quinn Drive, Regina, SK, S4P 2W2",ID: 191 Telehealth:  Rescode: 15923 Telephone: 522-0596 Fax: ,"Regina, Personal Care Home, ",50.433186,-104.600219,YES,YES
20,Avonlea Villa Ltd.,13-08-25 12:49,"210 New Warren Place, Avonlea, SK, S0C 0H0",ID: 5975 Telehealth:  Rescode: 10050 Telephone: 868-2033 Fax: ,"Five Hills, Personal Care Home, ",50.017006,-105.061348,YES,YES
21,Bachelder Care Home,14-09-25 12:49,"R.R.#1/339 McKeen Drive, Prince Albert, SK, S6V 5P8",ID: 1155 Telehealth:  Rescode: 46122 Telephone: 922-0426 Fax: ,"Prince Albert, Personal Care Home, ",53.176332,-105.756925,YES,YES
22,Balcarres Integrated Care Centre,13-11-26 12:49,"Box 340, 100 South Elgin Street, Balcarres, SK, S0G 0C0",ID: 5/39110 Telehealth: Yes Rescode: 18630 Telephone: 334-2634 Fax: 334-2674,"Regina, Hospital w/ Special Care, Community, Telehealth, ",50.802914,-103.550261,YES,YES
