"#","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","LATITUDE","LONGITUDE","APPROVED","VERIFIED"
2,"Zenon Park *",2014-09-17 12:49:00,"(Arborfield Health Centre), Zenon Park, SK, S0E 1W0","ID: 19c Telehealth:  Rescode: 45657 Telephone: 769-8757 Fax: ","Kelsey Trail,Primary Health Centre",53.0666666666669,-103.75,"YES","YES"
3,"Yutthé Dene Nakóhódí Health Centre",2014-11-27 12:49:00,"Box 124, Black Lake, SK, S0J 0H0","ID: 213 Telehealth:  Rescode: 80173 Telephone: 439-2200 Fax: 439-2212","Athabasca Health Authority,Hospital,Northern Hospital",0,0,"NO","YES"
4,"Yorkton Regional Health Centre",2014-02-13 12:49:00,"270 Bradbrooke Drive, Yorkton, SK, S3N 2K6","ID: 176 Telehealth: Yes Rescode: 24427 Telephone: 782-2401 Fax: 786-6295","Sunrise,Hospital,Regional Hospital,Telehealth",51.24,-102.466666666669,"YES","YES"
5,"Yorkton Personal Care Home",2014-02-15 12:49:00,"77 Circlebrooke Drive, Yorkton, SK, S3N 2R9","ID: 5282 Telehealth:  Rescode: 24427 Telephone: 783-9688 Fax: ","Sunrise,Personal Care Home",51.25,-102.466666666669,"YES","YES"
6,"Yorkton Personal Care Home",2014-02-17 12:49:00,"89 Smith Street East, Yorkton, SK, S3N 0H7","ID: 7501 Telehealth:  Rescode: 24427 Telephone: 783-9258 Fax: ","Sunrise,Personal Care Home",51.26,-102.466666666669,"YES","YES"
7,"Yorkton Personal Care Home",2014-02-20 12:49:00,"10C 54 Allanbrooke Dr., Yorkton, SK, S3N 3G4","ID: 7528 Telehealth:  Rescode: 24427 Telephone: 786-7503 Fax: ","Sunrise,Personal Care Home",51.27,-102.466666666669,"YES","YES"
8,"Yorkton Personal Care Home",2014-02-22 12:49:00,"11 Marquis Crescent South, Yorkton, SK, S3N 3L8","ID: 7627 Telehealth:  Rescode: 24427 Telephone: 786-6741 Fax: ","Sunrise,Personal Care Home",51.28,-102.466666666669,"YES","YES"
9,"Yorkton and District Nursing Home Corp.",2014-02-11 12:49:00,"200 Bradbrooke Drive, Yorkton, SK, S3N 2K5","ID: 36120 Telehealth: Yes Rescode: 24427 Telephone: 786-0801 Fax: 786-0808","Sunrise,Special Care Home,Telehealth",51.23,-102.466666666669,"YES","YES"
10,"Wynyard Integrated Facility",2014-03-22 12:49:00,"Box 670, 300 10th Street E., Wynyard, SK, S0A 4T0","ID: 174 Telehealth: Yes Rescode: 30830 Telephone: 554-2586 Fax: 544-2247","Saskatoon,Hospital w/ Special Care Home,Community Hospital,Telehealth",51.766666666667,-104.18333333333,"YES","YES"
11,"Wolseley Memorial Hospital",2013-09-22 12:49:00,"Box 458, 801 Ouimet St., Wolseley, SK, S0G 5H0","ID: 173 Telehealth:  Rescode: 15530 Telephone: 698-2213 Fax: 698-2988","Regina Qu'Appelle,Hospital,Community Hospital",50.42,-103.26666666667,"YES","YES"
12,"Wiome House",2014-02-09 12:49:00,"564 Circlebrooke Dr, Yorkton, SK, S3N 2T4","ID: 7064 Telehealth:  Rescode: 24427 Telephone: 783-9218 Fax: ","Sunrise,Personal Care Home",51.22,-102.466666666669,"YES","YES"
13,"Windthorst Personal Care Home",2013-09-01 12:49:00,"NE3-13-7W2 RM Chester 125, Windthorst, SK, S0G 5G0","ID: 6947 Telehealth:  Rescode: 12557 Telephone: 224-4347 Fax: ","Sun Country,Personal Care Home",50.12,-102.83333333333,"YES","YES"
14,"Willowdale Lodge",2013-08-29 12:49:00,"Box 537, 128 4th Street S., Kipling, SK, S0G 2S0","ID: 13132 Telehealth:  Rescode: 12430 Telephone: 736-2218 Fax: 736-2986","Sun Country,Special Care Home",50.11,-102.63333333333,"YES","YES"
15,"Willowbunch Health Centre",2014-11-28 12:49:00,"Box 6, 17 3rd St. E., Willowbunch, SK, S0H 4K0","ID: 694 Telehealth:  Rescode: 4230 Telephone: 473-2310 Fax: 473-2677","Five Hills,Health Centre",0,0,"NO","YES"
16,"Wilkie and District Health Centre/Poplar Courts",2014-07-26 12:49:00,"Box 459, 304 7th Ave. E., Wilkie, SK, S0K 4W0","ID: 171/23131 Telehealth:  Rescode: 40930 Telephone: 843-2644 Fax: 843-3222","Heartland,Health Centre w/ Special Care Home,ER Health Centre Site",52.4166666666669,-108.7,"YES","YES"
17,"Wildrose Homes",2014-02-03 12:49:00,"3821 Regina Avenue, Regina, SK, S4S 0H8","ID: 5150 Telehealth:  Rescode: 15923 Telephone: 584-8421 Fax: ","Regina Qu'Appelle,Personal Care Home",51.2099999999998,-104.61666666667,"YES","YES"
18,"Wiebe's Personal Care Home",2014-06-16 12:49:00,"3447 Cassino Avenue, Saskatoon, SK, S7M 5E9","ID: 5363 Telehealth:  Rescode: 34424 Telephone: 382-8695 Fax: ","Saskatoon,Personal Care Home",52.1669999999998,-106.63333333333,"YES","YES"
19,"Whitewood Community Health Centre",2013-09-10 12:49:00,"Box 669, 921 Gambetta St., Whitewood, SK, S0G 5C0","ID: 170/13150 Telehealth:  Rescode: 15330 Telephone: 735-2688 Fax: 735-2512","Regina Qu'Appelle,Health Centre w/ Special Care Home",50.333333333333,-102.26666666667,"YES","YES"
20,"White Buffalo Youth Lodge",2014-06-14 12:49:00,"602-20th Street West, Saskatoon, 602-20th Street West, Saskatoon, SK, S7M 0X8","ID: 18a Telehealth:  Rescode: 34424 Telephone: 655-5365 Fax: ","Saskatoon,Primary Health Centre",52.1659999999998,-106.63333333333,"YES","YES"
21,"Whispering Pine Place",2014-10-28 12:49:00,"Box 418, Canwood, SK, S0J 0K0","ID: 27142 Telehealth:  Rescode: 49451 Telephone: 468-2900 Fax: 468-2199","Prince Albert Parkland,Special Care Home",53.37,-106.599999999999,"YES","YES"
22,"Wheatland Lodge",2014-09-14 12:49:00,"Box 130, Leask, SK, S0J 1M0","ID: 27151 Telehealth:  Rescode: 46452 Telephone: 466-4949 Fax: 466-2209","Prince Albert Parkland,Special Care Home",53.016666666667,-106.75,"YES","YES"
23,"Wheatbelt Centennial Lodge",2014-03-13 12:49:00,"Box 250, 301 Centennial Dr., Rosetown, SK, S0L 2V0","ID: 19121 Telehealth:  Rescode: 28730 Telephone: 882-5210 Fax: 882-6696","Heartland,Special Care Home",51.5499999999999,-108,"YES","YES"
24,"Weyburn Special Care Home",2013-08-13 12:49:00,"Box 2003, 704 5th Street N.E., Weyburn, SK, S4H 2Z9","ID: 8129 Telehealth: Yes Rescode: 6726 Telephone: 842-4455 Fax: 842-1433","Sun Country,Special Care Home,Telehealth",49.73,-103.849999999999,"YES","YES"
25,"Weyburn Personal Care Home",2013-07-29 12:49:00,"704 Elgin Street, Weyburn, SK, S4H 1V2","ID: 7420 Telehealth:  Rescode: 6726 Telephone: 842-3105 Fax: ","Sun Country,Personal Care Home",49.6666666666669,-103.849999999999,"YES","YES"
26,"Weyburn General Hospital",2013-07-28 12:49:00,"Box 2003, 201 1st Avenue N.E., Weyburn, SK, S4H 2Z9","ID: 168 Telehealth: Yes Rescode: 6726 Telephone: 842-8400 Fax: 842-0737","Sun Country,Hospital,District Hospital,Telehealth",49.66,-103.849999999999,"YES","YES"
27,"Western Senior Citizens Lodge",2013-12-11 12:49:00,"Box 69, 400 1st Street W., Leader, SK, S0N 1H0","ID: 1119 Telehealth:  Rescode: 23130 Telephone: 628-3565 Fax: 628-3733","Cypress,Special Care Home",50.8833333333329,-109.55,"YES","YES"
28,"Weldon Personal Care Home",2014-09-15 12:49:00,"Box 282, Weldon, SK, S0J 3A0","ID: 7358 Telehealth:  Rescode: 45959 Telephone: 864-2613 Fax: ","Prince Albert Parkland,Personal Care Home",53.017,-105.13333333333,"YES","YES"
29,"Weldon Personal Care Home",2014-09-16 12:49:00,"Parcel B, Village, Weldon, SK, S0J 3A0","ID: 7471 Telehealth:  Rescode: 45959 Telephone: 887-2888 Fax: ","Prince Albert Parkland,Personal Care Home",53.018,-105.13333333333,"YES","YES"
30,"Welchman Extendivilla",2014-02-01 12:49:00,"532/534 Halifax Street, Regina, SK, S4R 1T6","ID: 809 Telehealth:  Rescode: 15923 Telephone: 543-3259 Fax: ","Regina Qu'Appelle,Personal Care Home",51.1999999999998,-104.61666666667,"YES","YES"
